Computing topology → P:\unity-projects\generate_polychora\topology_output
Generating topology for 47 polytopes...
  pen: V=5 E=10 F=10 C=5
  hex: V=8 E=24 F=32 C=16
  rap: V=10 E=30 F=30 C=10
  tes: V=16 E=32 F=24 C=8
  spid: V=20 E=60 F=70 C=30
  tip: V=20 E=40 F=30 C=10
  ico: V=24 E=96 F=96 C=24
  deca: V=30 E=60 F=40 C=10
  srip: V=30 E=90 F=80 C=20
  rit: V=32 E=96 F=88 C=24
  thex: V=48 E=120 F=96 C=24
  grip: V=60 E=120 F=80 C=20
  prip: V=60 E=150 F=120 C=30
  sidpith: V=64 E=192 F=208 C=80
  tat: V=64 E=128 F=88 C=24
  rico: V=96 E=288 F=240 C=48
  sadi: V=96 E=432 F=480 C=144
  srit: V=96 E=288 F=248 C=56
  tah: V=96 E=192 F=120 C=24
  gap: V=100 E=500 F=720 C=320
  ex: V=120 E=720 F=1200 C=600
  gippid: V=120 E=240 F=150 C=30
  spic: V=144 E=576 F=672 C=240
  grit: V=192 E=384 F=248 C=56
  prit: V=192 E=480 F=368 C=80
  proh: V=192 E=480 F=368 C=80
  tico: V=192 E=384 F=240 C=48
  cont: V=288 E=576 F=336 C=48
  srico: V=288 E=864 F=720 C=144
  gidpith: V=384 E=768 F=464 C=80
  grico: V=576 E=1152 F=720 C=144
  prico: V=576 E=1440 F=1104 C=240
  hi: V=600 E=1200 F=720 C=120
  rox: V=720 E=3600 F=3600 C=720
  gippic: V=1152 E=2304 F=1392 C=240
  rahi: V=1200 E=3600 F=3120 C=720
  tex: V=1440 E=4320 F=3600 C=720
  sidpixhi: V=2400 E=7200 F=7440 C=2640
  thi: V=2400 E=4800 F=3120 C=720
  srahi: V=3600 E=10800 F=9120 C=1920
  srix: V=3600 E=10800 F=8640 C=1440
  xhi: V=3600 E=7200 F=4320 C=720
